decimallongitude,decimallatitude,scientificname
-173.835,57.2733333,Hippoglossus stenolepis
-137.415,57.5383333,Hippoglossus stenolepis
-137.4516667,58.091666700000005,Hippoglossus stenolepis
-170.84,53.2615,Hippoglossus stenolepis
-174.297,52.6017,Hippoglossus stenolepis
-174.297,52.602,Hippoglossus stenolepis
-178.6399,51.512229999999995,Hippoglossus stenolepis
-124.75277779999999,44.6675,Hippoglossus stenolepis
-122.72273329999999,48.1644667,Hippoglossus stenolepis
-123.38726799999999,48.242086,Hippoglossus stenolepis
-123.704656,48.182241999999995,Hippoglossus stenolepis
-178.6399,51.512229999999995,Hippoglossus stenolepis
-166.5133333,54.24,Hippoglossus stenolepis
-166.51,54.24,Hippoglossus stenolepis
-165.1533333,54.415,Hippoglossus stenolepis
-158.165,55.908333299999995,Hippoglossus stenolepis
-166.0333333,54.4716667,Hippoglossus stenolepis
-165.86,54.805,Hippoglossus stenolepis
-166.6516667,55.125,Hippoglossus stenolepis
-165.7883333,55.3566667,Hippoglossus stenolepis
-156.4216667,55.4616667,Hippoglossus stenolepis
-168.2033333,55.2083333,Hippoglossus stenolepis
-169.0516667,56.0866667,Hippoglossus stenolepis
-168.695,56.1433333,Hippoglossus stenolepis
-169.27,56.3083333,Hippoglossus stenolepis
-139.7648,59.5445,Hippoglossus stenolepis
-87.71871999999999,31.379759999999997,Morone saxatilis
-87.55095,31.60756,Morone saxatilis
-87.75164000000001,31.3363,Morone saxatilis
-87.71814,31.38045,Morone saxatilis
-87.61099,31.52368,Morone saxatilis
-87.55099,31.60858,Morone saxatilis
-87.77509,31.303009999999997,Morone saxatilis
-87.78548,31.29777,Morone saxatilis
-87.61093000000001,31.52373,Morone saxatilis
-87.79541,31.2953,Morone saxatilis
-87.75236,31.33682,Morone saxatilis
-85.86149,32.98467,Morone saxatilis
-87.71749,31.382170000000002,Morone saxatilis
-87.63037,31.41623,Morone saxatilis
-87.72176,31.37748,Morone saxatilis
-87.80202,31.26892,Morone saxatilis
-87.7227,31.37702,Morone saxatilis
-87.77209,31.339959999999998,Morone saxatilis
-87.56135,31.47542,Morone saxatilis
-87.75587,31.36318,Morone saxatilis
-87.72605,31.369529999999997,Morone saxatilis
-87.55126,31.60843,Morone saxatilis
-87.55109,31.60797,Morone saxatilis
-87.55109,31.60797,Morone saxatilis
-70.51208000000001,41.851175,Morone saxatilis
-70.906447,42.416893,Morone saxatilis
-70.906447,42.416893,Morone saxatilis
-70.84118000000001,42.518159000000004,Morone saxatilis
-70.906447,42.416893,Morone saxatilis
-70.902225,42.419907,Morone saxatilis
-69.991601,41.729625,Morone saxatilis
-69.981779,41.65769,Morone saxatilis
-69.981779,41.65769,Morone saxatilis
-69.981779,41.65769,Morone saxatilis
-69.981779,41.65769,Morone saxatilis
-69.981779,41.65769,Morone saxatilis
-69.981779,41.65769,Morone saxatilis
-69.981779,41.65769,Morone saxatilis
-69.981779,41.65769,Morone saxatilis
-69.981779,41.65769,Morone saxatilis
-69.981779,41.65769,Morone saxatilis
-72.1472,40.9515,Morone saxatilis
-72.37646666,40.86169999,Morone saxatilis
-72.29183334,40.89599997,Morone saxatilis
-72.39266666,40.83233331,Morone saxatilis
-72.95550003,40.69050001,Morone saxatilis
-72.98199997,40.65233332,Morone saxatilis
-73.52193333,40.56879997,Morone saxatilis
-73.45266666,40.54399999,Morone saxatilis
-73.87671668,40.5404,Morone saxatilis
-73.83528334,40.50541668,Morone saxatilis
-71.98483334,41.09083333,Morone saxatilis
-72.11125,40.96404998,Morone saxatilis
-72.30558332,40.88868332,Morone saxatilis
-73.11828334,40.64280001,Morone saxatilis
-73.1439,40.62929999,Morone saxatilis
-73.46776667,40.55670001,Morone saxatilis
-73.86396669,40.52835,Morone saxatilis
-73.90733331,40.33593334,Morone saxatilis
-73.93841667,40.4434,Morone saxatilis
-75.01693333,38.00841667,Morone saxatilis
-71.23118334,41.23999999,Morone saxatilis
-71.896,41.022,Morone saxatilis
-72.331,40.881,Morone saxatilis
-72.179,40.94,Morone saxatilis
-72.075,40.972,Morone saxatilis
-72.244,40.915,Morone saxatilis
-72.295,40.889,Morone saxatilis
-72.54899999999999,40.806,Morone saxatilis
